ensembl_gene_id	uniprotswissprot
YLR252W	O13573
YLR427W	Q06436
YGL240W	P53068
YPR174C	Q06616
YNL008C	P53983
YGR085C	Q3E757
YJR115W	P47152
YLR200W	P52553
YPR151C	Q06524
YDR253C	Q12041
YDL112W	Q07527
YGR237C	P50089
YNL309W	P42845
YNR015W	P53720
YKL086W	P36077
YNR075W	P52924
YLR150W	P39015
YDR545W	P0CX20
YDR545W	P0CX21
YDR545W	P0CX22
YHR086W	Q00539
YPR180W	Q06624
YBR193C	P38304
YLL021W	P23201
YCL076W	P25602
YCR011C	P25371
YGL146C	P53117
YDL187C	Q07613
YAL045C	P39725
YGL153W	P53112
YJL010C	P47077
YDL138W	Q12300
YFR044C	P43616
YBR149W	P38115
YER170W	P26364
YJL084C	P47029
YCL054W-A	A0A0B7P221
YDR528W	Q04429
YKL073W	P36016
YCR020C	P25362
YNL025C	P47821
YHR146W	P38845
YHR195W	P38881
YCL065W	P37264
YKR006C	Q02204
YGR075C	Q00723
YMR030W-A	Q3E760
YOR311C	Q12382
YDR284C	Q05521
YDR050C	P00942
YMR161W	P48353
YNL058C	P53947
YER047C	P39955
YDL010W	Q12438
YNL313C	P42842
YDL065C	Q07418
YDR349C	Q06325
YKL034W	P36096
YLR078C	P25385
YFR032C-B	Q8TGU2
YBR013C	P38215
YLR153C	P52910
YKL118W	P36072
YDL098C	Q12368
YMR183C	P39926
YOL019W	Q08157
YHR119W	P38827
YLR404W	Q06058
YLR014C	P07272
YDL234C	P48365
YNL122C	P53921
YFR034W-A	Q8TGR2
YPL210C	P38688
YML021C	P12887
YOL138C	Q08281
Q0140	P02381
YER132C	P32634
YCL057W	P25375
YDR118W	Q04601
YLL005C	Q07798
YEL068C	P39977
YKL104C	P14742
YBL063W	P28742
YDR118W-A	P0C5L7
YOL151W	Q12068
YBL029C-A	Q3E756
YDR159W	P46674
YER080W	P40053
YHR033W	P38690
YER052C	P10869
YCL069W	P25594
YML074C	P38911
YJR030C	P47101
YDR111C	P52892
YDR128W	Q03897
YJL119C	P47021
YJL221C	P0CW40
YJL221C	P0CW41
YIL147C	P39928
YIL149C	P40457
YOR330C	P15801
YPL155C	P28743
YGL169W	P32579
YBR147W	P38279
YGR187C	P48362
YLR262C	Q99260
YDL034W	Q12448
YER070W	P21524
YJR140C	P47171
YPL225W	Q08971
YPL081W	O13516
YGL167C	P13586
YGR050C	P53231
YJR161C	P47187
YOR379C	Q08903
YBR246W	P38332
YLR296W	Q05898
YPL266W	P41819
YMR157C	Q03798
YBR002C	P35196
YLR234W	P13099
YMR110C	Q04458
YGR035W-A	Q45U48
YGR217W	P50077
YKL191W	P32461
YDR065W	Q12167
YHR024C	P11914
YKR042W	P36135
YHL043W	P38728
YLR096W	P13186
YOR142W	P53598
YGR068C	P53244
Q0075	Q9ZZX0
YGR296W	P0CX14
YGR296W	P0CX15
YHL039W	P38732
YGR177C	P53296
YLR271W	Q06152
YOR268C	Q08734
YBR023C	P29465
YPR002W	Q12428
YDL004W	Q12165
YDR024W	Q99341
YJL136C	Q3E754
YLR033W	Q07979
YPL127C	P53551
YBL088C	P38110
YEL007W	P40002
YBL064C	P34227
YDL171C	Q12680
YKR013W	P36110
YBL007C	P32790
YDR083W	P38961
YNL094W	P53933
YOR017W	P32606
YDR457W	Q03280
YOR394W	P0CE86
YOR394W	P0CE87
YER068C-A	A0A023PXC7
YDR014W	Q99359
YMR097C	Q03151
YKR101W	P21691
YMR111C	Q04461
YLR278C	Q05854
YPR108W	Q06103
YOL134C	Q08272
YDR206W	Q03466
YJL146W	P46958
YDR478W	P40993
YOR002W	Q12001
YKL039W	P32857
YHR059W	P38783
YER115C	Q01684
YOR194C	P32773
YKL214C	P36036
YLL055W	Q12235
YNL001W	P33309
YHL048C-A	Q3E758
YIL106W	P40484
YGL068W	P53163
YPR172W	Q06608
YML011C	Q04231
YAR007C	P22336
YBL093C	P25046
YLR266C	Q06149
YKL155C	P36056
YNL317W	P42841
YFR009W	P43535
YLL030C	Q07829
YPR200C	Q06597
YCR045W-A	Q8TGQ2
YBL091C	P38174
YDR169C	Q12427
YMR064W	P32493
YCL048W	P25380
YDR115W	Q04598
YDL159W-A	Q3E774
YNL035C	P53962
YHR026W	P23968
YDL232W	Q99380
YDL240C-A	P0C5L8
YBR142W	P38112
YNL007C	P25294
YOR298C-A	O14467
YLR323C	P53769
YOL069W	P33895
YJL060W	P47039
YNL162W-A	Q3E7A8
YBR047W	P38231
YER076C	P40049
YDL152W	Q12394
YBR238C	P38330
YLR007W	Q07913
YOR014W	P38903
YDR432W	Q01560
YLR406C-A	Q8TGT1
YBR067C	P27654
YEL021W	P03962
YFL045C	P07283
YBR010W	P61830
YOR346W	P12689
YGL018C	P53193
YKL116C	P28708
YKR089C	P36165
YML082W	Q04533
YDL022C-A	P0C5L6
YLL015W	P14772
YPL058C	Q02785
YPL073C	P40323
YMR300C	P04046
YOR044W	Q08416
YEL026W	P39990
YKR018C	P36114
YDL114W-A	P0C5M5
YNR039C	P53735
YPR197C	A0A023PXI5
YNL103W-A	Q8TGQ9
YDR410C	P32584
YGL188C	P53098
YKR079C	P36159
YIL005W	P40557
YJL117W	P46956
YDR464C-A	Q8TGP5
YLR343W	Q06135
YBL054W	P34219
YHR160C	P38855
YPR088C	P20424
YDL072C	Q07451
YDR053W	Q07790
YLR269C	O13550
YDL012C	Q12489
YNL052W	P00424
YDR482C	Q03375
YMR262W	P38430
YDL070W	Q07442
YKL153W	P36058
YBR209W	P38311
YPL254W	Q12060
YOR275C	Q12033
YNL120C	P53922
YOR174W	Q12343
YER040W	P18494
YGR126W	P53274
YBL060W	P34225
YDR064W	P05756
YGL065C	P43636
YKL027W	P36101
YGL014W	P25339
YBR089W	P38252
YDL135C	Q12434
YGL100W	P53011
YLR210W	P24871
YDL077C	Q07468
YBR025C	P38219
YMR031C	Q05050
YLR058C	P37291
YGR288W	P53338
YMR016C	P53438
YMR066W	Q04748
YDR354C-A	Q8TGP6
YHR085W	P38803
YNL002C	P40693
YOR336W	P22023
YIL169C	P40442
YOL094C	P40339
YEL016C	P39997
YLR145W	Q12530
YFL068W	P0CX99
YFL068W	P0CY00
YFL068W	P0CY01
YHR113W	P38821
YLR080W	Q12396
YMR007W	Q03675
YGL174W	P46947
YDL033C	Q12093
YLR443W	Q06200
YOR122C	P07274
YJL149W	P47005
YKL100W-A	P0C5P2
YOR256C	Q08693
YAL030W	P31109
YDL031W	Q12389
YCR002C	P25342
YMR201C	P28519
YDR398W	Q04177
YLR325C	P49167
YKL035W	P32861
YER012W	P22141
YPR010C-A	A5Z2X5
YBR040W	P38224
YHR175W	P38865
YCR035C	P25359
YPL223C	Q08969
YBR230C	P38325
YAR027W	P39547
YOL137W	Q08280
YOR350C	P24720
YPR056W	Q12004
YLL006W	P41800
YOR196C	P32875
YDR326C	Q06681
YGR211W	P53303
YPR006C	Q12031
YKL084W	P36078
YCR066W	P10862
YJR063W	P32529
YER190W	P40105
YMR232W	Q05670
YGL204C	P53089
YDL052C	P33333
YER185W	P40100
YLR074C	Q08004
YOR380W	Q08904
YER189W	P40104
YMR200W	Q03691
YEL060C	P09232
YFR018C	P43599
YMR297W	P00729
YDR536W	P39932
YOR314W-A	P0C5R0
YLR311C	Q06158
YGR270W	P40340
YDR397C	Q92317
YEL052W	P32317
YLR191W	P80667
YNL311C	P42843
YKL207W	P36039
YDL116W	P52891
YAL055W	P39718
YJL067W	P40365
YLR235C	A0A023PXP4
YIL004C	P22804
YJL164C	P06244
YER149C	P40091
YML026C	P0CX55
YML026C	P0CX56
YOL097W-A	Q3E7Y9
YFR034C	P07270
YJL223C	P0CE89
YJL223C	P0CE88
YOR376W	Q08900
YPR129W	P45978
Q0250	P00410
YJL079C	P47032
YOR369C	P48589
YNR007C	P40344
YLR364C-A	P0C5Q1
YHR148W	P32899
YPR199C	Q06596
YDR028C	Q00816
YPL062W	Q02781
YPR113W	P06197
YGR204W	P07245
YPL166W	Q12092
YDL007W	P40327
YML023C	Q03718
YMR143W	P0CX51
YMR143W	P0CX52
YGR266W	P53326
YPR020W	Q12233
YMR073C	Q04772
YNL291C	P41821
YNL195C	P40168
YBL027W	P0CX82
YBL027W	P0CX83
YDR236C	Q03778
YDR011W	P32568
YDR155C	P14832
YGL070C	P27999
YPL160W	P26637
YML069W	Q04636
YNL087W	P48231
YOL132W	Q08271
YGL225W	P40107
YER111C	P25302
YML050W	Q04689
YDR414C	P16151
YDR026C	Q12457
YBL100C	P38168
YIR014W	P40570
YLR288C	Q02574
YPL147W	P41909
YDL073W	Q07454
YGL120C	P53131
YAL060W	P39714
YNL217W	P40152
YIR033W	P40578
YLL001W	P54861
YKR066C	P00431
YLR409C	Q06078
YHR208W	P38891
YNL029C	P53966
YHR001W	P38755
YLR099C	Q12385
YJL156W-A	P0C5N9
YLR131C	P21192
YER081W	P40054
YDL115C	Q07532
YPL107W	Q02873
YOR296W	Q08748
YER010C	P40011
YML099W-A	Q6B2I9
YLR362W	P23561
YJL106W	P32581
YOR260W	P09032
YBR261C	P38340
YIL105C	P40485
YPL169C	Q99257
YDL145C	P53622
YPR169W-A	P0C5R7
YJL171C	P46992
YNR028W	P53728
YPR170W-A	P0C5R8
YER018C	P40014
YMR211W	Q03652
YLR256W	P0CE41
YAL017W	P31374
YDR203W	A0A023PXI4
YJL058C	P47041
YOR373W	P32336
YIL057C	P40188
YHR131C	P38835
YLR068W	Q12247
YPR014C	Q6B0W2
YHR049C-A	O13533
YDL104C	P43122
YIL017C	P40547
YNL009W	P53982
YBR034C	P38074
YPR049C	Q12527
YPL087W	Q02896
YJL132W	P47014
YIL132C	P40465
YKL117W	P28707
YKL140W	P34163
YPR115W	Q06108
YOR163W	Q99321
YMR283C	P23796
YKL007W	P28495
YNL024C-A	Q8TGJ3
YDL149W	Q12142
YLR101C	Q08027
YGR252W	Q03330
YOR029W	Q12243
YLR341W	Q06134
YDR231C	Q04935
YDR045C	Q04307
YPL184C	Q08925
YPR111W	P32328
YPR203W	Q08994
YGL106W	P53141
YOL042W	Q08213
YPR189W	P17883
YKL051W	P35735
YGR284C	P53337
YML078W	P25719
YOR316C	P32798
YOR326W	P19524
YLL054C	Q12244
YOR293C-A	Q3E7Y7
YCR032W	P25356
YAR018C	P22209
YMR142C	P40212
YOL036W	Q08206
YGR032W	P40989
YOR072W-B	Q3E832
YKL022C	P09798
YIL070C	P40513
YPR034W	Q12406
YPL189W	Q08929
YJL172W	P27614
YOR332W	P22203
YMR203W	P23644
YDL075W	P0C2H8
YEL076C	P39971
YNL334C	P53823
YMR077C	Q04272
YOL002C	Q12442
YKL021C	
YDR415C	Q04033
YNL319W	P53826
YNL295W	P48564
YDR339C	Q05498
YEL018C-A	A0A023PYD9
YGR174C	
YMR245W	Q04019
YJR114W	P47151
YPL246C	Q12270
YNL192W	P08004
YDL213C	Q07623
YKL148C	Q00711
YCL059C	P25586
YHR086W-A	Q3E746
YLR186W	Q06287
YOR193W	Q08580
YJL093C	P40310
YJL163C	P46996
YJR153W	P47180
YMR284W	P32807
YBR101C	P38260
YMR089C	P40341
YER072W	P40046
YJL179W	P46988
YNL149C	P53903
YGR208W	P42941
YHR141C	P0CX27
YHR141C	P0CX28
YHR170W	P38861
YDR096W	Q03833
YPL020C	Q02724
YER093C	P40061
YGL016W	P32767
YLR143W	Q12429
YNL071W	P12695
YKL038W	P32862
YLR368W	Q05930
YGR255C	P53318
YLR393W	P18496
YDL019C	Q12451
YDL022W	Q00055
YHL021C	P23180
YCR079W	P25646
YOR243C	Q08647
YOR126C	P41734
YDR413C	P87266
YDR391C	Q04170
YJR080C	P47127
YMR134W	P40207
YNL089C	P53936
YOR070C	Q08484
YKL125W	P36070
YOR328W	P51533
YLR176C	P48743
YNL308C	P42846
YAL069W	O13588
YGR146C-A	Q8TGT9
YJL037W	P47056
YDR091C	Q03195
YHR078W	P38799
YGL194C	P53096
YJL104W	P42949
YAL063C	P39712
YPL255W	Q12365
Q0017	Q9ZZX8
YER178W	P16387
YNL239W	
YMR290W-A	A0A023PZH5
YJL050W	P47047
YHR007C-A	Q07074
YLR126C	Q12288
YLR099W-A	Q3E798
YPL196W	Q08952
YPR135W	Q01454
YGL138C	P53122
YHL044W	P38727
YER030W	P40019
YDR240C	Q03782
YGR091W	P49704
YFR029W	P43606
YKL048C	P32801
YOL056W	Q12326
YPR044C	A0A023PZI1
YOR098C	P20676
YJL002C	P41543
YNL275W	P53838
YDL244W	Q07748
YDR179C	Q03981
YPL061W	P54115
YDL165W	P06100
YGR200C	P42935
YDL140C	P04050
YJR084W	P47130
YMR095C	Q03144
YDR120C	P15565
YDR003W	Q03446
YOL110W	P41912
YGR191W	P06775
YNR071C	P53757
YOR213C	Q99314
YJL220W	A0A023PXN9
YJL220W	P40891
YGR270C-A	Q8TGN7
YJR034W	Q02772
YHR214W-A	O13534
YOR253W	Q08689
YBL010C	P32788
YLR423C	Q06410
YKL053W	P35733
YJR019C	P41903
YLR357W	Q06488
YOR008C-A	Q3E7B9
YHR161C	P38856
YBR053C	P38235
YBL059C-A	Q3E7A4
YPL238C	Q99401
YLR197W	Q12460
YOL113W	Q12469
YPL052W	Q02803
YHR074W	P38795
YKR093W	P32901
YFL003C	P40965
YHR164C	P38859
YPR112C	Q06106
YGL227W	P53076
YDR499W	Q04377
YOR060C	Q08457
YER128W	P40080
YLR187W	Q06315
YJR093C	P45976
YKL201C	P36044
YPL186C	Q08926
YCR021C	P25619
YOL076W	Q12387
YOR186C-A	Q8TGL3
YPR148C	Q06523
YBR255C-A	Q3E776
YGR081C	P53251
YJL201W	P32525
YGL243W	P53065
YJL161W	P46998
YGL194C-A	Q2V2P6
YGR148C	P24000
YDR166C	P89102
YDL092W	P38985
YKL123W	P36071
YMR099C	Q03161
YFR041C	P43613
YJR021C	P21651
YMR132C	P40206
YFL059W	P43545
YGL136C	P53123
YDL041W	Q12352
YHL006W-A	A0A023PXE5
YBL042C	P38196
YBL039C	P28274
YFL062W	P43542
YGR276C	P53331
YKL224C	P35994
YPL280W	Q08992
YML115C	P23642
YJL070C	P40361
YIL051C	P40185
YPR143W	Q06511
YCL026C-A	P37261
YKL077W	P36081
YPL261C	Q08976
YBR217W	P38316
YMR086W	Q04279
YHR204W	P38888
YGL129C	Q01163
YBR200W-A	Q3E755
YOR381W	Q08905
YNL226W	P53864
YNL040W	P53960
YNL117W	P30952
YLL034C	Q07844
YLL023C	Q12164
YBL003C	P04912
YKR103W	P0CE68
YDL241W	Q07738
YDL082W	Q12690
YLR065C	Q99382
YIL118W	Q00245
YFR026C	P43604
YOR113W	P41696
YFL014W	P22943
YLL031C	Q07830
YLR419W	Q06698
YNL050C	P53952
YPL034W	Q03083
YGR053C	P53234
YGR069W	P53245
YNL086W	P48232
YHL002C-A	A0A023PYG1
YDR277C	P35198
YDR291W	Q05549
YER003C	P29952
YGL224C	P53078
YMR044W	Q04213
YLR149C-A	P0C5P8
YNL017C	P53977
YGL193C	P53097
YNR070W	P53756
YIL097W	P40492
YOR273C	Q12256
YPL116W	Q02959
YNR067C	P53753
YPL131W	P26321
YDR475C	Q03361
YHL030W-A	A0A023PZD5
YGL020C	P53192
YKR104W	P0CE69
YDR244W	P35056
YDR407C	Q04183
YLR294C	O13543
YDR382W	P02400
Q0144	Q9ZZW2
YNL305C	P48558
YCL046W	P25575
YBR069C	P38085
YER163C	P32656
YPR017C	P32601
YGL177W	P53105
YLR405W	Q06063
YGL189C	P39938
YDR102C	Q03864
YBR056W-A	I2HB52
YMR222C	Q05015
YJL029C	P47061
YCR104W	P25610
YDL188C	P23595
YGR122W	P53272
YNL015W	P0CT04
YKR024C	P36120
YGL003C	P53197
YPL012W	Q12754
YAL046C	P39724
YJR010W	P08536
YDR405W	P32387
YNL146C-A	Q3E7Z1
YCL001W	P25560
YOR161W-A	Q8TGL5
YHR163W	P38858
YDR443C	P38931
YDR059C	P15732
YJR151W-A	Q3E775
YDR144C	P53379
YDL157C	Q12082
YBR009C	P02309
YFL066C	P43538
YOL147C	Q12462
YMR272W-A	Q8TGM0
YOR338W	Q99326
YIR034C	P38998
YEL005C	P40003
YIL109C	P40482
YDL058W	P25386
YDL096C	Q07521
YJR144W	P32787
YLR157C-C	P0CY04
YLR157C-C	P0CY05
YLR157C-C	P0CY03
YLR157C-C	P0CY02
YGR210C	P42942
YHL046C	P38725
YPL017C	Q02733
YOR178C	P28006
YAR020C	P39545
YHR056W-A	A0A023PXL7
YHL004W	P32902
YNL063W	P53944
YBL038W	P38064
YLR463C	O13557
YDL155W	P24870
YOR188W	P21339
YDR147W	Q03764
YDL191W	P0CX84
YDL191W	P0CX85
YBR056C-B	P0C5L0
YNL294C	P48565
YNR046W	P53738
YOL159C	Q08300
YBR081C	P35177
YFL047W	P43556
YFR032C-A	P05747
YFR056C	P43624
YMR321C	Q04898
YNL167C	Q02100
YNL280C	P32462
YER173W	P32641
YKR056W	P33753
YJL073W	P40358
YDL128W	Q99385
YIL102C-A	Q2V2P5
YLR026C	Q01590
YDR310C	P46676
YLR267W	Q06150
YKL203C	P32600
YNR002C	P32907
YGR079W	P53249
YNL036W	P53615
YGL115W	P12904
YKR054C	P36022
YGL105W	P46672
YEL065W	P39980
YJL022W	P47066
YLR093C	Q12255
YGR026W	P53217
YJR038C	P47106
YML131W	Q03102
YPL010W	P53600
YNL075W	P53941
YOR382W	Q08906
YEL055C	P39985
YGR087C	P26263
YKR057W	P0C0V8
YOL071W	Q08230
YER029C	P40018
YDL160C-A	Q3E829
YLR085C	Q12509
YOR363C	P52960
YGR278W	P53333
YDR127W	P08566
YGR042W	P53227
YLR246W	Q06551
YNR058W	P50277
YCR054C	P25355
YML038C	Q03697
YCR046C	P25626
YDR497C	P30605
YGR043C	P53228
YKL133C	P36066
YOR069W	Q92331
YGL165C	P53106
YLR433C	P23287
YOR075W	P41834
YGR110W	P53264
YGR089W	P53253
YPR173C	P52917
YDL162C	Q12307
YFL044C	P43558
YIL105W-A	Q8TGN5
YPL233W	Q12143
YPR024W	P32795
YGL158W	P38622
YFR011C	P43594
YBR007C	P38213
YKL122C	P32342
YML122C	Q03207
YPL152W-A	Q8TGR9
YOR124C	Q01476
YCR064C	P25640
YER089C	P39966
YGR262C	P53323
YLR227C	Q05955
YDR201W	Q03954
YGL200C	P32803
YJR094W-A	P0CX25
YJR094W-A	P0CX26
YOR008W-B	P0C5Q9
YIL084C	P40505
YCL001W-B	Q96VH2
YGL117W	P53133
YGL186C	P53099
YGR010W	P53204
YLR012C	Q07927
YHL009C	P38749
YLR111W	Q12528
YLR152C	P54072
YLR370C	Q05933
YMR036C	P23748
YML012W	P54837
YOL025W	Q92325
YOR057W	Q08446
YOR265W	P48606
YGR198W	P46951
YJL052W	P00360
YNL054W	P53950
YNR006W	P40343
YBR146W	P38120
YNR042W	P53737
YGR137W	P53282
YML100W	P38427
YPL187W	P01149
YGL058W	P06104
YNL261W	P50874
YOL127W	P04456
YOR107W	Q99188
YGL226W	P53077
YGL055W	P21147
YIL039W	P40533
YLL026W	P31539
YGL184C	P53101
YDR163W	Q03772
YLR289W	P46943
YDL146W	Q12342
YBR171W	P33754
YGL024W	P53190
YPR191W	P07257
YER179W	P25453
YFR022W	P43602
YHR138C	P38841
YBL028C	P38202
YEL011W	P32775
YBR135W	P20486
YOL142W	Q08285
YGL151W	P53114
YJR139C	P31116
YKR100C	P36169
YCR017C	P25618
YLL066W-B	Q8TGJ7
YHR166C	P16522
YBR264C	P38146
YDR363W-A	O94742
YDL221W	Q07649
YDL089W	Q12066
YHR151C	P38849
YIR003W	P40563
YAR050W	P32768
YOR239W	Q08641
YOL091W	Q12411
YJR158W	P47185
YOR317W	P30624
YDR385W	P32324
YBR043C	P38227
YMR312W	Q04868
YDR331W	P49018
YGR101W	P53259
YDR196C	Q03941
YFR047C	P43619
YJL089W	P46954
YNL188W	P11927
YBL059W	P34224
YKR083C	P36162
YML112W	P46963
YOR370C	P32864
YDR116C	Q04599
YDR001C	P32356
YLR114C	Q12500
YDL230W	P25044
YAL016C-B	P0C1V3
YDR160W	Q03770
YER166W	P32660
YML099C	P05085
YML123C	P25297
YJL077W-B	Q8TGT3
YJL016W	P47072
YMR141C	P40211
YDR123C	P26798
YBR131W	P38273
YMR324C	Q04909
YNL146W	P53906
YOR211C	P32266
YHL014C	P38746
YPR170C	A0A023PYK2
YDR322W	Q06678
YJL127W-A	P0C5P1
YMR207C	
YDR040C	P13587
YER061C	P39525
YDR025W	P0CX47
YDR025W	P0CX48
YIR031C	P21826
YDR046C	P41815
YMR236W	Q05027
YPR123C	O13566
YDL057W	Q07379
YPR142C	O13570
YDL248W	Q07788
YKL225W	P36030
YCR097W	P0CY11
YDR008C	A0A023PZ99
YFL051C	P43552
YPL063W	Q02776
YER082C	P40055
YLR213C	Q05790
YKL189W	P32464
YER118C	P40073
YJR007W	P20459
YML034C-A	A0A023PXP7
YER152C	P10356
YBR233W-A	P69850
YDR029W	Q12111
YLR146C	Q12455
YAR019C	P27636
YPR007C	Q12188
YHR021C	P38711
YHR198C	P38884
YNL228W	P53862
YOR191W	Q08562
YLR445W	Q06201
YBR092C	P24031
YNL211C	P53869
YBR126C	Q00764
YOL064C	P32179
YGL230C	P53074
YLR169W	O13561
YCL041C	P25571
YJR096W	P47137
YGR103W	P53261
YBR057C	P38236
YGR096W	P53257
YBR086C	P38250
YLR202C	O13531
YIL074C	P40510
YDR485C	Q03388
YIL022W	Q01852
YHL034C	P10080
YNR021W	P53723
YFL054C	P43549
YAR029W	P39549
YBR174C	P38294
YLL053C	P0CD98
YKL113C	P26793
YLR333C	P0C0T4
YOL049W	Q08220
YPR084W	Q06821
YGR112W	P53266
YER107C	P40066
YHR124W	P38830
YPL149W	Q12380
YIL030C	P40318
YMR204C	Q03694
YAR002W	P39705
YJL032W	P47059
YBR281C	P38149
YJR065C	P47117
YNL201C	P40164
YNR033W	P37254
YNR034W	P50278
YDR408C	P04161
YMR011W	P23585
YOL043C	Q08214
YDR038C	Q12691
YDL204W	Q12443
YDR019C	P48015
YHR011W	P38705
YML008C	P25087
YHR096C	P38695
YMR109W	Q04439
YOR043W	P12611
YOR331C	Q08786
YLR082C	Q12020
YNL272C	P17065
YNL245C	P53854
YNR074C	P52923
YBL103C	P38165
YLR193C	Q05776
YPL089C	Q12224
YCR043C	P25361
YIL140W	P38928
YKL213C	P36037
YLL043W	P23900
YDR477W	P06782
YJL019W	P47069
YJR082C	P47128
YMR004W	P40959
YNL123W	P53920
YOR309C	Q12444
YER020W	P10823
YOR104W	Q12057
YJL181W	P46987
YLR337C	P37370
YHR185C	P38872
YLL066W-A	P0CX99
YLL066W-A	P0CY00
YLL066W-A	P0CY01
YLR039C	P40395
YDR254W	P38907
YLR457C	P52919
YER125W	P39940
YDR514C	Q04408
YGL013C	P12383
YLR377C	P09201
YOL114C	Q12322
YLR104W	Q08045
YPR166C	P10663
YER122C	P38682
YLR319C	P41697
YHR190W	P29704
YLR184W	Q06267
YKL154W	P36057
YGL076C	P05737
YKR063C	P36146
YPR167C	P18408
YIL031W	P40537
YOR300W	Q08756
YJR095W	P33303
YLR317W	O13553
YLL003W	Q12369
YPL231W	P19097
YDR296W	Q06630
YMR158C-A	Q3E843
YPR025C	P37366
YLR004C	Q07904
YOR220W	Q12044
YLR407W	Q06070
YLR336C	Q06132
YOR378W	Q08902
YPL098C	Q02889
YBR159W	P38286
YLR430W	Q00416
YBR118W	P02994
YFR036W-A	A0A023PZD0
YHR075C	P38796
YKL163W	Q03180
YMR216C	Q03656
YLR436C	Q06673
YGR067C	P53243
YMR159C	Q03818
YJR086W	P18852
YDL216C	Q12468
YLR347C	Q06142
YLR324W	Q06169
YKL174C	P36029
YMR307C-A	P0C5Q5
YBL004W	P35194
YFR024C-A	P43603
YOL059W	P41911
YPR147C	Q06522
YBR163W	P38289
YGR094W	P07806
YMR272C	Q03529
YDL100C	Q12154
YLR460C	P54007
YMR106C	Q04437
YBL013W	P32785
YLR113W	P32485
YGL226C-A	Q92316
YGR045C	P53229
YNR016C	Q00955
YGR175C	P32476
YDL068W	Q07435
YBL112C	Q3E7Y4
YBL112C	A0A023PXF5
YFR045W	P43617
YLR046C	Q12253
YER038W-A	A0A023PZB3
YPL129W	P35189
YGL008C	P05030
YGR115C	P53269
YBR231C	P38326
YLR125W	Q12138
YKL134C	P35999
YIL014W	P40549
YLR196W	P21304
YHR117W	P38825
YER057C	P40037
YDL026W	Q12147
YML092C	P23639
YFR002W	P34077
YKR011C	Q02209
YKL005C	P36106
YNL223W	P53867
YCR095W-A	Q3E787
YPR153W	Q06537
YHR109W	P38818
YGR108W	P24868
YNR032C-A	Q6Q546
YDL124W	Q07551
YNL133C	P53913
YLR363W-A	Q3E747
YPR164W	Q06211
YBL066C	P34228
YGR218W	P30822
YPL026C	Q12505
YKL069W	P36088
YML104C	Q01846
YML058W	Q04964
YPR001W	P43635
YGR205W	P42938
YBR008C	P38124
YFL012W	P43580
YIL137C	P40462
YOR386W	P05066
YBL015W	P32316
YHR207C	P38890
YPL282C	P0CE86
YPL282C	P0CE87
YHR132W-A	Q9P305
YLL061W	Q12372
YPR178W	P20053
YJL077C	P47034
YMR148W	P40219
YHR015W	P38760
Q0105	P00163
YOL027C	Q08179
YDL227C	P09932
YHL015W	P38701
YEL033W	P32633
YBR038W	P14180
YHR090C	P38806
YKL006W	P36105
YDL111C	Q12277
YBL018C	P38208
YLR119W	Q99176
YPR061C	Q12350
YIR037W	P40581
YMR168C	P40969
YKL187C	P34231
YML063W	P23248
YKL111C	P36074
YIL127C	P40470
YLL020C	Q07811
YER006W	P40010
YGL073W	P10961
YNL178W	P05750
YNL065W	P53943
YDR324C	Q06679
YDL170W	P26370
YDR317W	Q06674
YOL155C	Q05164
YDR436W	P33329
YLR163C	P10507
YBR253W	P32570
YPL180W	Q08921
YHR189W	P38876
YIL143C	Q00578
YDR208W	P38994
YPL142C	Q08916
YIL079C	P40507
YKR035W-A	P69771
YLL014W	Q12431
YHR001W-A	P37299
YHR070C-A	A0A023PYH0
YBL068W-A	P0C5L1
YKL182W	P07149
YHR108W	P38817
YPL019C	Q02725
YDR386W	Q04149
YFL033C	P43565
YIR008C	P10363
YHR006W	P38704
YMR008C	P39105
YBR058C	P38237
YDR504C	Q04398
YAL039C	P06182
YJR006W	P46957
YMR294W-A	A0A023PZL7
YNR043W	P32377
Q0143	Q9ZZW3
YIL040W	P40532
YLR129W	Q12220
YFL021W	P43574
YGL009C	P07264
YIL129C	P40468
YGL095C	P38932
YIL100C-A	Q03884
YJR072C	P47122
YHR147C	P32904
YOR375C	P07262
YPL258C	Q08975
YGL137W	P41811
YNL021W	P53973
YOR100C	Q12289
YGL214W	P53087
YKL099C	P34247
YLR173W	Q06247
YPL022W	P06777
YOL026C	Q08176
YIL124W	P40471
YNL124W	P53919
YJL118W	P47022
YOL012C	Q12692
YPL279C	Q08991
YLR090W	P39102
YMR177W	Q03218
YGR105W	P41806
YNL312W	P26754
YBL084C	P38042
YFL008W	P32908
YDL220C	P32797
YNL143C	P53908
YDR396W	O13522
YOR026W	P26449
YIL042C	P40530
YGR001C	P53200
YMR213W	Q03654
YMR192W	Q04322
YGL217C	P53085
YAR030C	P39550
YDR258C	P33416
YAR047C	P39557
YAL022C	P31381
YBR224W	P38320
YOR359W	Q08831
YDR176W	P32494
YDL099W	Q12191
YDR380W	Q06408
YDL110C	Q12513
YOR250C	Q08685
YFL019C	P43576
Q0055	P03876
YDR148C	P19262
YER007W	P39937
YBR077C	P38247
YOL013C	Q08109
YPL044C	O13520
YDL201W	Q12009
YDL107W	P40990
YNL251C	P53617
YOR272W	Q12024
YER078W-A	Q3E7A2
YPR193C	Q06592
YJL184W	P46984
YGL173C	P22147
