ENSEMBL	symbol	WikiGene	Uniprot/SWISSPROT
YJL216C	IMA5	IMA5|853214	P40884
YLR204W	QRI5	850901|QRI5	P32344
YNR057C	BIO4	BIO4|855794	P53630
YER165W	PAB1	856912|PAB1	P04147
YGL236C	MTO1	852616|MTO1	P53070
YMR322C	SNO4	855372|SNO4	Q04902
YGR278W	CWC22	853195|CWC22	P53333
YFL034W	null	850510|YFL034W	P43564
YGL015C	null	YGL015C|852869	P33199
tS(AGA)D2	null	null	null
YPL221W	FLC1	FLC1|855880	Q08967
YAL042C-A	null	null	O13514
YNL280C	ERG24	855441|ERG24	P32462
YER078C	ICP55	ICP55|856811	P40051
YLR312C	null	YLR312C|851021	Q06159
YNL107W	YAF9	855616|YAF9	P53930
YGL263W	COS12	852628|COS12	P53053
YKR007W	MEH1	853876|MEH1	Q02205
YLR276C	DBP9	850982|DBP9	Q06218
YER115C	SPR6	SPR6|856851	Q01684
tK(CUU)G3	null	null	null
YHR004C	NEM1	856393|NEM1	P38757
YGR016W	null	852899|YGR016W	P53209
YHR056C	RSC30	856451|RSC30|YHR054C|856453	P38780|P38781
YLR104W	LCL2	LCL2|850794	Q08045
YDR276C	PMP3	PMP3|851869	P87284
YPR162C	ORC4	ORC4|856291	P54791
YPR040W	TIP41	856153|TIP41	Q12199
YCL061C	MRC1	MRC1|850297	P25588
YOR273C	TPO4	854447|TPO4	Q12256
YKR051W	null	853925|YKR051W	P36142
YDR407C	TRS120	852016|TRS120	Q04183
YJR033C	RAV1	853490|RAV1	P47104
snR45	null	null	null
YLR367W	RPS22B	RPS22B|851082	Q3E7Y3
YGR121C	MEP1	853019|MEP1	P40260
YHR012W	VPS29	VPS29|856403	P38759
YCL043C	PDI1	850314|PDI1	P17967
tL(UAG)L1	null	null	null
YPL032C	SVL3	856075|SVL3	Q03088
YML073C	RPL6A	RPL6A|854902	Q02326
YIR039C	YPS6	854857|YPS6	P40583
YDR504C	SPG3	852115|SPG3	Q04398
YCR102C	null	YCR102C|850466	P25608
YGL033W	HOP2	HOP2|852850	P53187
YLR229C	CDC42	CDC42|850930	P19073
YOR149C	SMP3	854320|SMP3	Q04174
YKR017C	null	853887|YKR017C	P36113
YLR102C	APC9	APC9|850792	Q12107
YNL032W	SIW14	SIW14|855699	P53965
YPL162C	null	855941|YPL162C	Q12042
YLR317W	null	null	O13553
YCR059C	YIH1	YIH1|850423	P25637
YDL045W-A	MRP10	851515|MRP10	O75012
YPL147W	PXA1	855956|PXA1	P41909
YGR013W	SNU71	852896|SNU71	P53207
YDL028C	MPS1	851533|MPS1	P54199
YGL025C	PGD1	PGD1|852860	P40356
YLR194C	null	YLR194C|850891	Q05777
YLR410W	VIP1	851126|VIP1	Q06685
YGR131W	FHN1	FHN1|853032	P53279
YNL206C	RTT106	RTT106|855515	P40161
YPR137W	RRP9	856255|RRP9	Q06506
YER168C	CCA1	856915|CCA1	P21269
YCR008W	SAT4	850366|SAT4	P25333
YDL102W	POL3	851456|POL3	P15436
YLR117C	CLF1	CLF1|850808	Q12309
YML133W-A	null	null	P0CL31|P0CL30|P0CL29|P0CL28|P0CL27
YGR202C	PCT1	853116|PCT1	P13259
YLR210W	CLB4	CLB4|850907	P24871
YML046W	PRP39	PRP39|854960	P39682
YML089C	null	null	Q04502
YDR374C	null	YDR374C|851980	Q06390
YIL065C	FIS1	FIS1|854745	P40515
YGR162W	TIF4631	TIF4631|853071	P39935
YLL026W	HSP104	850633|HSP104	P31539
YOR382W	FIT2	FIT2|854564	Q08906
YJL222W-A	null	null	P0CL26|P0CL25
YML058W	SML1	854945|SML1	Q04964
YMR004W	MVP1	MVP1|855016	P40959
YCR100C	null	YCR100C|850464	P25606
YFL059W	SNZ3	SNZ3|850485	P43545
YBL062W	null	null	P38189
YOR357C	SNX3	SNX3|854539	Q08826
YBR163W	EXO5	EXO5|852461	P38289
YNR051C	BRE5	855787|BRE5	P53741
YOL140W	ARG8	ARG8|854025	P18544
YNL138W	SRV2	855584|SRV2	P17555
YPR023C	EAF3	EAF3|856134	Q12432
YER071C	TDA2	856802|YER071C	P40045
YDR118W	APC4	APC4|851696	Q04601
YHR117W	TOM71	856517|TOM71	P38825
YGL079W	KXD1	852801|KXD1	P53158
YKR006C	MRPL13	853875|MRPL13	Q02204
YLR047C	FRE8	850736|FRE8	Q12209
YOL044W	PEX15	854113|PEX15	Q08215
YER023C-A	null	null	Q8TGP2
YDR158W	HOM2	851736|HOM2	P13663
YNL198C	null	null	P40166
YOR072W-B	null	1466483|YOR072W-B	Q3E832
YER013W	PRP22	PRP22|856732	P24384
YER001W	MNN1	MNN1|856718	P39106
YCR010C	ADY2	ADY2|850368	P25613
YOR233W	KIN4	854408|KIN4	Q01919
YGR206W	MVB12	853120|MVB12	P42939
YJL109C	UTP10	UTP10|853335	P42945
YPL040C	ISM1	856067|ISM1	P48526
YHR126C	ANS1	856527|ANS1	P38832
YDR420W	HKR1	HKR1|852030	P41809
tN(GUU)K	null	null	null
YIL021W	RPB3	RPB3|854791	P16370
YDR325W	YCG1	851925|YCG1	Q06680
YFR037C	RSC8	RSC8|850598	P43609
YGR267C	FOL2	853183|FOL2	P51601
YMR176W	ECM5	ECM5|855214	Q03214
YGR048W	UFD1	UFD1|852939	P53044
YDR458C	HEH2	HEH2|852069	Q03281
YMR280C	CAT8	CAT8|855323	P39113
YDL200C	MGT1	MGT1|851327	P26188
YLR076C	null	null	Q08018
tE(UUC)E2	null	null	null
YMR036C	MIH1	MIH1|855052	P23748
YCR026C	NPP1	NPP1|850391	P25353
YPL251W	null	null	Q12058
YMR084W	null	YMR084W|855108	A2P2R3
tM(CAU)P	IMT2	null	null
YOR096W	RPS7A	RPS7A|854263	P26786
YBR255C-A	null	852558|YBR255C-A	Q3E776
YMR067C	UBX4	855089|UBX4	P54730
YML085C	TUB1	854889|TUB1	P09733
YJR110W	YMR1	YMR1|853574	P47147
YDL219W	DTD1	851307|DTD1	Q07648
YGL071W	AFT1	AFT1|852809	P22149
YLR433C	CNA1	CNA1|851153	P23287
YOR043W	WHI2	854208|WHI2	P12611
YGR113W	DAM1	853010|DAM1	P53267
YLR289W	GUF1	850996|GUF1	P46943
YIL077C	null	854733|YIL077C	P40508
YNL185C	MRPL19	855536|MRPL19	P53875
YOR095C	RKI1	854262|RKI1	Q12189
YER129W	SAK1	SAK1|856866	P38990
YKL040C	NFU1	NFU1|853826	P32860
YLR287C-A	RPS30A	850994|RPS30A|854354|RPS30B	P0CX34|P0CX33
YHL009W-A	null	YHL009W-A|856379	P47023|Q6Q5P6
tE(UUC)B	null	null	null
YLR287C	null	850993|YLR287C	Q05881
YKL071W	null	853792|YKL071W	P36086
YCR037C	PHO87	850403|PHO87	P25360
YML018C	null	YML018C|854990	Q03730
YJL144W	null	YJL144W|853297	P47009
YMR260C	TIF11	TIF11|855302	P38912
YDR005C	MAF1	851568|MAF1	P41910
YHR089C	GAR1	GAR1|856489	P28007
YOR111W	null	YOR111W|854278	Q99210
YGL084C	GUP1	GUP1|852796	P53154
YGR159C	NSR1	NSR1|853064	P27476
YBR140C	IRA1	852437|IRA1	P18963
YGR051C	null	null	P53232
YER155C	BEM2	BEM2|856899	P39960
YNL008C	ASI3	ASI3|855724	P53983
YPR059C	null	null	P0C5E1
YGL194C-A	null	3799973|YGL194C-A	Q2V2P6
YPL171C	OYE3	855932|OYE3	P41816
YBL074C	AAR2	852205|AAR2	P32357
YGL101W	null	852777|YGL101W	P53144
YEL028W	null	null	P39989
YGL222C	EDC1	EDC1|852650	P53080
YOR211C	MGM1	854386|MGM1	P32266
YBL006W-A	null	null	Q8TGQ6
YLR154C	RNH203	RNH203|850847	Q12338
YMR002W	MIC17	MIC17|855014	Q03667
YGL231C	EMC4	EMC4|852620	P53073
YAL035W	FUN12	FUN12|851196	P39730
YDL043C	PRP11	PRP11|851518	Q07350
tG(GCC)D2	null	null	null
YML051W	GAL80	854954|GAL80	P04387
YDR272W	GLO2	851865|GLO2	Q05584
YPL027W	SMA1	SMA1|856080	Q02651
YBR146W	MRPS9	MRPS9|852443	P38120
YER081W	SER3	856814|SER3	P40054
YOR258W	HNT3	HNT3|854432	Q08702
YER177W	BMH1	856924|BMH1	P29311
YBR128C	ATG14	852425|ATG14	P38270
YMR020W	FMS1	FMS1|855034	P50264
YPR063C	null	856176|YPR063C	Q12160
YIL036W	CST6	854775|CST6	P40535
YLR445W	null	YLR445W|851166	Q06201
YJL025W	RRN7	853428|RRN7	P40992
snR66	null	null	null
YHR199C-A	NBL1	2746858|NBL1	Q3E7Y6
YNL029C	KTR5	855703|KTR5	P53966
YOL007C	CSI2	CSI2|854155	Q08054
YOR151C	RPB2	RPB2|854322	P08518
YMR197C	VTI1	855237|VTI1	Q04338
YCL024W	KCC4	850334|KCC4	P25389
YDR264C	AKR1	AKR1|851857	P39010
YEL069C	HXT13	HXT13|856640	P39924
YBL057C	PTH2	PTH2|852223	P34222
YHR062C	RPP1	RPP1|856459	P38786
YOL155C	HPF1	HPF1|854010	Q05164
YER043C	SAH1	SAH1|856766	P39954
YJR111C	null	YJR111C|853575	P47148
YMR230W	RPS10B	855270|RPS10B	P46784
YDL156W	null	YDL156W|851399	Q12510
tS(AGA)B	null	null	null
YOL072W	THP1	854082|THP1	Q08231
YHR084W	STE12	856484|STE12	P13574
YLR073C	RFU1	850762|RFU1	Q08003
YJL082W	IML2	853363|IML2	P47031
YCR066W	RAD18	RAD18|850430	P10862
YPL150W	null	YPL150W|855953	Q12152
YBR133C	HSL7	HSL7|852431	P38274
YNL118C	DCP2	855605|DCP2	P53550
YGL161C	YIP5	852715|YIP5	P53108
YJR155W	AAD10	AAD10|853620	P47182
YDR433W	null	null	P87269
YER011W	TIR1	TIR1|856729	P10863
YKR093W	PTR2	PTR2|853968	P32901
YBL037W	APL3	APL3|852243	P38065
YCR104W	PAU3	850468|PAU3	P25610
YAL065C	null	YAL065C|851232	O13511
YDR168W	CDC37	851746|CDC37	P06101
YAL063C-A	null	YAL063C-A|1466427	Q3E791
YDR140W	MTQ2	851718|MTQ2	Q03920
YLR369W	SSQ1	SSQ1|851084	Q05931
YLR299W	ECM38	851006|ECM38	Q05902
YHR061C	GIC1	GIC1|856458	P38785
RDN37-2	null	null	null
YNL069C	RPL16B	RPL16B|855655	P26785
YDR348C	null	851949|YDR348C	Q05518
YIL073C	SPO22	SPO22|854737	P40511
YJL164C	TPK1	TPK1|853275	P06244
YOR224C	RPB8	RPB8|854399	P20436
YHL002W	HSE1	HSE1|856387	P38753
YLR124W	null	null	Q12327
YEL037C	RAD23	RAD23|856674	P32628
YNL180C	RHO5	855541|RHO5	P53879
YOR195W	SLK19	854370|SLK19	Q08581
YCR107W	AAD3	AAD3|850471	P25612
YMR183C	SSO2	SSO2|855221	P39926
YGR219W	null	null	P53307
YAL008W	FUN14	851225|FUN14	P18411
YER024W	YAT2	856745|YAT2	P40017
tI(UAU)L	null	null	null
YNL086W	SNN1	855638|SNN1	P48232
YKL033W-A	null	853833|YKL033W-A	Q86ZR7
YLL041C	SDH2	850685|SDH2	P21801
YJL133C-A	null	YJL133C-A|1466465	Q3E7A3
YDR192C	NUP42	851774|NUP42	P49686
tT(AGU)B	null	null	null
YJR130C	STR2	STR2|853594	P47164
tY(GUA)D	SUP2	null	null
tW(CCA)M	null	null	null
tG(CCC)D	SUF3	null	null
YCR106W	RDS1	RDS1|850470	P25611
YOR207C	RET1	854382|RET1	P22276
YJL222W-B	null	null	P0CL24|P0CL23
YAR002C-A	ERP1	851264|ERP1	Q05359
YGL091C	NBP35	852789|NBP35	P52920
YOR335W-A	null	null	Q8TGL1
YPL119C	DBP1	DBP1|855984	P24784
YDR488C	PAC11	PAC11|852099	P40960
YGR289C	MAL11	853207|MAL11	P53048
YDL041W	null	null	Q12352
tG(GCC)C	SUF16	null	null
YFR013W	IOC3	850567|IOC3	P43596
tI(AAU)L1	null	null	null
YBR251W	MRPS5	MRPS5|852553	P33759
YOR021C	null	YOR021C|854186	Q12314
YOR133W	EFT1	851993|EFT1|854301|EFT2	P32324
YDR402C	DIT2	DIT2|852011	P21595
YLR129W	DIP2	850820|DIP2	Q12220
YAL001C	TFC3	TFC3|851262	P34111
YBL078C	ATG8	ATG8|852200	P38182
YJR005W	APL1	APL1|853461	P27351
YHR060W	VMA22	VMA22|856457	P38784
tN(GUU)O1	null	null	null
tV(AAC)E2	null	null	null
YDL133C-A	RPL41B	851422|RPL41A|851344|RPL41B	P0CX87|P0CX86
YNR053C	NOG2	855789|NOG2	P53742
YHR204W	MNL1	MNL1|856611	P38888
YER184C	null	856933|YER184C	P39961
YIL053W	RHR2	RHR2|854758	P41277
YJL181W	null	853257|YJL181W	P46987
YMR185W	null	855223|YMR185W	Q12751
snR34	null	null	null
YDR132C	null	851710|YDR132C	Q03900
YLL013C	PUF3	850647|PUF3	Q07807
YML090W	null	null	Q04501
YFR027W	ECO1	ECO1|850584	P43605
YCR064C	null	null	P25640
YDL053C	PBP4	PBP4|851507	Q07362
YPR153W	null	YPR153W|856276	Q06537
YMR244W	null	855285|YMR244W	Q04018
YBR126W-B	null	null	null
YLL006W	MMM1	MMM1|850654	P41800
YOL143C	RIB4	854022|RIB4	P50861
YDR178W	SDH4	851758|SDH4	P37298
YCR024C-B	null	1466398|YCR024C-B	Q3E7Z8
YGL049C	TIF4632	TIF4632|852833	P39936
YOR292C	null	YOR292C|854467	Q08743
YGR070W	ROM1	ROM1|852961	P53046
YDR337W	MRPS28	MRPS28|851937	P21771
YFR045W	null	850606|YFR045W	P43617
YPL003W	ULA1	ULA1|856104	Q12059
YJL052C-A	null	YJL052C-A|853394	Q3E837
YDR034C-A	null	YDR034C-A|851602	P0C289
YBR259W	null	852562|YBR259W	P38338
YDR037W	KRS1	KRS1|851607	P15180
YOR178C	GAC1	854350|GAC1	P28006
YGR287C	IMA1	853204|IMA1	P53051
YHR164C	DNA2	DNA2|856569	P38859
YNR003W-A	null	null	Q8TGL7
YHR154W	RTT107	RTT107|856559	P38850
YMR276W	DSK2	855319|DSK2	P48510
YIL169C	null	854637|YIL169C	P40442
YEL057C	null	856653|YEL057C	P39983
YOR350C	MNE1	MNE1|854532	P24720
YMR108W	ILV2	855135|ILV2	P07342
YDR432W	NPL3	852042|NPL3	Q01560
YBL070C	null	null	P38186
YCR048W	ARE1	ARE1|850415	P25628
YLR082C	SRL2	SRL2|850771	Q12020
YNR077C	null	null	P53758
YDL236W	PHO13	PHO13|851362	P19881
YNR031C	SSK2	SSK2|855765	P53599
YPL072W	UBP16	UBP16|856032	Q02863
YER143W	DDI1	DDI1|856886	P40087
YGL246C	RAI1	RAI1|852646	P53063
YOR006C	TSR3	TSR3|854167	Q12094
YGR242W	null	null	P53310
YJL046W	AIM22	AIM22|853401	P47051
YPR044C	OPI11	null	null
YLR214W	FRE1	850911|FRE1	P32791
YGR164W	null	null	P53291
YOR063W	RPL3	854229|RPL3	P14126
YIL059C	null	null	P40520
YDR222W	null	YDR222W|851808	Q04925
YDR075W	PPH3	851647|PPH3	P32345
YBR079C	RPG1	852371|RPG1	P38249
YPR163C	TIF3	856292|TIF3	P34167
tV(UAC)B	null	null	null
YDR229W	IVY1	IVY1|851815	Q04934
tP(UGG)M	SUF7	null	null
YDR487C	RIB3	852098|RIB3	Q99258
tL(UAA)K	null	null	null
YBR216C	YBP1	YBP1|852517	P38315
YLR342W	FKS1	FKS1|851055	P38631
YIL030W-A	null	null	null
YGR137W	null	null	P53282
YLL055W	YCT1	850671|YCT1	Q12235
YMR283C	RIT1	RIT1|855326	P23796
YMR203W	TOM40	TOM40|855243	P23644
YNL119W	NCS2	NCS2|855603	P53923
YER082C	UTP7	856815|UTP7	P40055
YNL128W	TEP1	TEP1|855595	P53916
tL(UAA)B2	null	null	null
YDL150W	RPC53	851404|RPC53	P25441
YGL024W	null	null	P53190
ICR1	null	null	null
YJR028W	null	853485|YJR028W	P47099
YGL038C	OCH1	852845|OCH1	P31755
YPL187W	MF(ALPHA)1	855914|MF(ALPHA)1	P01149
YDL182W	LYS20	851346|LYS20	P48570
YHR143W-A	RPC10	RPC10|856547	P40422
YPR179C	HDA3	856309|HDA3	Q06623
YDR457W	TOM1	TOM1|852068	Q03280
YLR130C	ZRT2	850821|ZRT2	Q12436
YLR018C	POM34	POM34|850705	Q12445
YOR008C	SLG1	854170|SLG1	P54867
YDR126W	SWF1	851704|SWF1	Q04629
YHR087W	RTC3	RTC3|856487	P38804
YHL002C-A	null	null	null
PWR1	null	null	null
YHR213W-B	null	YHR213W-B|1466533	Q8TGK1
snR80	null	null	null
YMR181C	null	855219|YMR181C	Q03231
YBL018C	POP8	POP8|852263	P38208
YBL026W	LSM2	852255|LSM2	P38203
YMR194C-A	null	null	P0C5Q6
YDR137W	RGP1	RGP1|851714	P16664
YHR045W	null	YHR045W|856441	P38775
YBR020W	GAL1	852308|GAL1	P04385
YLR223C	IFH1	850920|IFH1	P39520
YER182W	FMP10	FMP10|856931	P40098
YFL005W	SEC4	850543|SEC4	P07560
YMR292W	GOT1	GOT1|855337	Q03554
YML024W	RPS17A	854984|RPS17A	P02407
YCL056C	PEX34	YCL056C|850302	P25584
YLR114C	AVL9	850805|AVL9	Q12500
YBR245C	ISW1	852547|ISW1	P38144
YAL041W	CDC24	CDC24|851190	P11433
YKL146W	AVT3	853710|AVT3	P36062
tA(UGC)O	null	null	null
YNL067W-B	null	YNL067W-B|1466514	Q3E767
YBR266C	SLM6	null	P38343
YCL040W	GLK1	850317|GLK1	P17709
YIR019C	MUC1	MUC1|854836	P08640
YDR185C	UPS3	851766|UPS3	Q04006
YJL154C	VPS35	853287|VPS35	P34110
YOR303W	CPA1	CPA1|854479	P07258
YBR112C	CYC8	CYC8|852410	P14922
YDR032C	PST2	PST2|851596	Q12335
tK(CUU)M	null	null	null
YGR184C	UBR1	853096|UBR1	P19812
YNL329C	PEX6	PEX6|855387	P33760
tD(GUC)K	null	null	null
YKR079C	TRZ1	853954|TRZ1	P36159
YDL004W	ATP16	ATP16|851560	Q12165
YNL097W-A	null	null	Q8TGL8
YIL100C-A	null	null	Q03884
YJR078W	BNA2	BNA2|853541	P47125
YAL046C	AIM1	AIM1|851251	P39724
YOR218C	null	null	Q12249
YDR461C-A	null	3799972|YDR461C-A	Q2V2P7
YDR359C	EAF1	851962|EAF1	Q06337
YGL115W	SNF4	852763|SNF4	P12904
YHR054W-A	null	null	P0CL33|P0CL32
YDR204W	COQ4	COQ4|851785	O13525
YMR262W	null	855304|YMR262W	P38430
YER148W-A	null	null	null
YLR250W	SSP120	850952|SSP120	P39931
YCL048W-A	null	3799968|YCL048W-A	Q2V2Q2
YJR140W-A	null	null	Q8TGN1
YJR099W	YUH1	853562|YUH1	P35127
YAL030W	SNC1	851203|SNC1	P31109
YLR418C	CDC73	851136|CDC73	Q06697
YNL074C	MLF3	MLF3|855650	P32047
YJL079C	PRY1	853366|PRY1	P47032
YIL046W	MET30	MET30|854765	P39014
YPR125W	YLH47	YLH47|856243	Q06493
tR(CCU)J	HSX1	null	null
YPR096C	null	YPR096C|856211	O13587
YER007C-A	TMA20	856725|TMA20	P89886
YGL262W	null	852629|YGL262W	P53054
YPL015C	HST2	856092|HST2	P53686
YJR065C	ARP3	853528|ARP3	P47117
YKR065C	PAM17	PAM17|853939	P36147
YGR096W	TPC1	852988|TPC1	P53257
YLL019W-A	null	null	Q8TGM8
tH(GUG)H	null	null	null
YOL103W-B	null	YOL103W-B|854049	Q12273
YAL016C-A	null	null	null
YPR082C	DIB1	DIB1|856197	Q06819
YAR030C	null	null	P39550
YNR052C	POP2	POP2|855788	P39008
YDR534C	FIT1	FIT1|852147	Q04433
YGL186C	TPN1	852689|TPN1	P53099
YLR326W	null	YLR326W|851036	Q06170
YNL102W	POL1	POL1|855621	P13382
YKL107W	null	YKL107W|853753	P34251
YBR111C	YSA1	YSA1|852408	Q01976
YBR267W	REI1	852569|REI1	P38344
YHR198C	AIM18	856605|AIM18	P38884
YLR251W	SYM1	850953|SYM1	Q06563
YER039C-A	null	856762|YER039C-A	P0CD97
YKL153W	null	null	P36058
YLR466C-A	null	null	P0CL40|P0CL39|P0CL38|P0CL37
YGL098W	USE1	852780|USE1	P53146
YLR216C	CPR6	850914|CPR6	P53691
YJR083C	ACF4	853545|ACF4	P47129
YOR015W	null	null	Q12169
YLL033W	IRC19	850626|IRC19	Q07843
YPR172W	null	YPR172W|856302	Q06608
YMR174C	PAI3	855212|PAI3	P01094
YCR050C	null	850417|YCR050C	P25630
YGL055W	OLE1	852825|OLE1	P21147
YBR141C	null	852438|YBR141C	P38278
YER092W	IES5	856827|IES5	P40060
YKL044W	null	null	P36092
YDR380W	ARO10	851987|ARO10	Q06408
YBR056W-A	null	null	null
YDR297W	SUR2	SUR2|851891	P38992
YCL030C	HIS4	HIS4|850327	P00815
YOR125C	CAT5	CAT5|854292	P41735
YPL143W	RPL33A	855960|RPL33A	P05744
YDR011W	SNQ2	SNQ2|851574	P32568
YOR142W	LSC1	LSC1|854310	P53598
YHL046C	PAU13	PAU13|856339	P38725
YNR048W	null	855784|YNR048W	P53740
YML108W	null	YML108W|854863	Q03759
YML030W	AIM31	854978|AIM31	Q03713
YJL081C	ARP4	853364|ARP4	P80428
YKL140W	TGL1	853717|TGL1	P34163
YAL007C	ERP2	851226|ERP2	P39704
YPR170W-B	null	5848745|YPR170W-B	P0C5R9
YJR077C	MIR1	853540|MIR1	P23641
YKL156C-A	null	null	Q8TGN0
tK(CUU)C	null	null	null
YDR099W	BMH2	851676|BMH2	P34730
YJR070C	LIA1	853534|LIA1	P47120
YMR031C	EIS1	EIS1|855047	Q05050
YKL159C	RCN1	RCN1|853698	P36054
YOR081C	TGL5	TGL5|854248	Q12043
tL(UAA)D	null	null	null
YPL082C	MOT1	856023|MOT1	P32333
YOL038C-A	null	YOL038C-A|1466476	Q3E7Z9
YGR115C	null	null	P53269
YKL184W	SPE1	853651|SPE1	P08432
YOL046C	null	null	Q08216
YPL135W	ISU1	855968|ISU1	Q03020
tK(CUU)J	null	null	null
YLR340W	RPP0	851052|RPP0	P05317
YER060W	FCY21	FCY21|856788	P40039
YJL178C	ATG27	ATG27|853261	P46989
tG(GCC)M	null	null	null
YOL098C	null	YOL098C|854055	Q12496
YAR042W	SWH1	SWH1|851286	P35845
YJL140W	RPB4	RPB4|853301	P20433
YNL283C	WSC2	855438|WSC2	P53832
YLR429W	CRN1	851148|CRN1	Q06440
YER051W	JHD1	JHD1|856777	P40034
YOR130C	ORT1	ORT1|854297	Q12375
YMR247W-A	null	1466506|YMR247W-A	Q3E782
YLR448W	RPL6B	851169|RPL6B	P05739
YGR253C	PUP2	PUP2|853168	P32379
YOL069W	NUF2	854085|NUF2	P33895
YLR449W	FPR4	851170|FPR4	Q06205
YNL276C	null	null	P53837
YOR094W	ARF3	ARF3|854261	P40994
YBR270C	BIT2	BIT2|852573	P38346
YDR366C	null	851972|YDR366C	P87287
YML127W	RSC9	RSC9|854912	Q03124
YOL165C	AAD15	853999|AAD15	Q08361
YPL153C	RAD53	RAD53|855950	P22216
YNL125C	ESBP6	ESBP6|855598	P53918
YBL010C	null	852273|YBL010C	P32788
YJR045C	SSC1	853503|SSC1	P12398
YHR141C	RPL42B	855560|RPL42A|RPL42B|856544	P0CX28|P0CX27
YLR044C	PDC1	850733|PDC1	P06169
YPL061W	ALD6	ALD6|856044	P54115
YGL023C	PIB2	PIB2|852861	P53191
YBL004W	UTP20	852282|UTP20	P35194
YJR116W	TDA4	853580|YJR116W	P47153
YNL022C	null	YNL022C|855709	P53972
YDL071C	null	null	Q07438
YBL014C	RRN6	852269|RRN6	P32786
YBR230W-A	null	2777172|YBR230W-A	Q3E762
YBL019W	APN2	852262|APN2	P38207
YNL305C	BXI1	YNL305C|855411	P48558
YHR138C	null	YHR138C|856540	P38841
YGL233W	SEC15	SEC15|852618	P22224
YGR026W	null	852910|YGR026W	P53217
YLL059C	null	null	Q12336
YER053C	PIC2	856779|PIC2	P40035
YLR014C	PPR1	850701|PPR1	P07272
YOL121C	RPS19A	854028|RPS19A	P07280
YPR045C	THP3	THP3|856158	Q12049
YDR417C	null	null	P87267
YMR204C	INP1	INP1|855244	Q03694
YDR111C	ALT2	ALT2|851690	P52892
YKL145W	RPT1	853712|RPT1	P33299
YNL291C	MID1	855425|MID1	P41821
YJR121W	ATP2	ATP2|853585	P00830
YNL179C	null	null	P53880
YFR012W-A	null	YFR012W-A|850566	Q3E838
YBR186W	PCH2	PCH2|852484	P38126
tS(AGA)E	null	null	null
YDL100C	GET3	851458|GET3	Q12154
YBR217W	ATG12	852518|ATG12	P38316
YOR214C	null	YOR214C|854389	Q12282
YDR221W	GTB1	851807|GTB1	Q04924
YJR027W	null	853484|YJR027W	P47098
YNL098C	RAS2	855625|RAS2	P01120
YGR210C	null	YGR210C|853124	P42942
YHR073W	OSH3	856472|OSH3	P38713
YOR073W-A	null	null	P0C5R3
YLR020C	YEH2	850707|YEH2	Q07950
snR8	null	null	null
YDR347W	MRP1	MRP1|851948	P10662
YKR022C	NTR2	NTR2|853892	P36118
Q0075	AI5_BETA	854599|AI5_BETA	Q9ZZX0
YMR175W	SIP18	SIP18|855213	P50263
YNL019C	null	855712|YNL019C	P53975
YHR175W	CTR2	856580|CTR2	P38865
YJL077W-B	null	YJL077W-B|1466467	Q8TGT3
YNR069C	BSC5	855806|BSC5	P53755
YKL088W	CAB3	CAB3|853774	P36076
snR7-L	null	null	null
YFR046C	CNN1	CNN1|850607	P43618
YIL162W	SUC2	SUC2|854644	P00724|P10597|P10594|P10595|P10596
YOR177C	MPC54	854349|MPC54	Q08550
YIL135C	VHS2	VHS2|854671	P40463
YGR152C	RSR1	RSR1|853056	P13856
YMR142C	RPL13B	855173|RPL13B	P40212
YNR004W	SWM2	855738|SWM2	P40342
YNL240C	NAR1	855481|NAR1	P23503
YOR123C	LEO1	854290|LEO1	P38439
YBR131W	CCZ1	852428|CCZ1	P38273
YNR060W	FRE4	FRE4|855797	P53746
Q0250	COX2	COX2|854622	P00410
YGL221C	NIF3	NIF3|852651	P53081
YPL114W	null	null	O13518
YHR086W	NAM8	NAM8|856486	Q00539
YGR058W	PEF1	PEF1|852949	P53238
YDL040C	NAT1	851521|NAT1	P12945
RDN25-1	null	null	null
YKL206C	ADD66	ADD66|853629	P36040
YML103C	NUP188	854868|NUP188	P52593
YNL300W	TOS6	855416|TOS6	P48560
YML133C	null	854906|YML133C	Q07888|Q03099|Q99208
YMR137C	PSO2	PSO2|855168	P30620
YGL217C	null	null	P53085
YFL015C	null	null	P43578
YPR188C	MLC2	856318|MLC2	Q06580
YOR038C	HIR2	HIR2|854203	P32480
tF(GAA)N	null	null	null
YER060W-A	FCY22	FCY22|856789	Q12119
YDR361C	BCP1	851963|BCP1	Q06338
YDR109C	null	851687|YDR109C	Q04585
YKL058W	TOA2	TOA2|853807	P32774
YLR342W-A	null	YLR342W-A|1466421	Q3E810
YMR159C	ATG16	ATG16|855194	Q03818
YDL051W	LHP1	851509|LHP1	P33399
YOR136W	IDH2	IDH2|854303	P28241
YJL071W	ARG2	ARG2|853374	P40360
YNR025C	null	null	P53726
YMR259C	null	YMR259C|855301	Q03496
YBR005W	RCR1	852290|RCR1	P38212
tQ(UUG)D3	null	null	null
YPR116W	RRG8	RRG8|856232	Q06109
tL(CAA)G3	null	null	null
YPR081C	GRS2	856196|GRS2	Q06817
YBR123C	TFC1	TFC1|852421	P32367
YDR423C	CAD1	CAD1|852033	P24813
YBR201W	DER1	852500|DER1	P38307
YJL085W	EXO70	EXO70|853359	P19658
YBR238C	null	YBR238C|852540	P38330
